rams_presto_usage_temp.put_filedate,rams_presto_usage_temp.put_line_number,rams_presto_usage_temp.put_farecard,rams_presto_usage_temp.put_servdate,rams_presto_usage_temp.put_trans_date,rams_presto_usage_temp.put_trans_time,rams_presto_usage_temp.put_dtype,rams_presto_usage_temp.put_device,rams_presto_usage_temp.put_presto_loc,rams_presto_usage_temp.put_location,rams_presto_usage_temp.put_ttime,rams_presto_usage_temp.put_ride_count,rams_presto_usage_temp.put_loyalty,rams_presto_usage_temp.put_deducted_fare,rams_presto_usage_temp.put_xfer_credit,rams_presto_usage_temp.put_xfer_company,rams_presto_usage_temp.put_underpayment,rams_presto_usage_temp.put_vehicle_id,rams_presto_usage_temp.put_tripnumber,rams_presto_usage_temp.put_uniclass,rams_presto_usage_temp.put_go_trip,rams_presto_usage_temp.put_trans_id,rams_presto_usage_temp.put_route_no,rams_presto_usage_temp.put_epurse_bal_old,rams_presto_usage_temp.put_epurse_bal_new,rams_presto_usage_temp.put_card_tsn,rams_presto_usage_temp.put_dev_tsn,rams_presto_usage_temp.put_logical,rams_presto_usage_temp.put_xfer_device,rams_presto_usage_temp.put_xfer_regulation
20170104,1923,3829110,2017-01-01 00:00:00.0,2017-01-01 00:00:00.0,12:35:00,FTP,130052,55,021,12:35:00,1,0,5.30000019073,0,0,11.8999996185,0,0,0,NULL,2930432884,NULL,8.89999961853,3.59999990463,61,3884,FTP_00479,NULL,0
20170104,1995,3824765,2016-12-31 00:00:00.0,2016-12-31 00:00:00.0,14:27:00,FTP,13309A,14,121,14:27:00,1,0,5.30000019073,0,0,4.34999990463,0,0,0,NULL,2930216090,NULL,23.8999996185,18.6000003815,968,1429,FTP_1093,NULL,0
20170104,2148,3828716,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,07:06:00,DCS,1117475,229,19,07:06:00,1,0,5.30000019073,0,0,7.19999980927,545,2793245,4,47121-5,2930691449,47,49.3300018311,44.0299987793,225,896,DCS_01428,NULL,0
20170104,2245,3827115,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,07:30:00,FTP,130096,29,601,07:30:00,1,0,5.30000019073,0,0,1.85000002384,0,0,0,NULL,2929519610,NULL,103.080001831,97.7799987793,768,3670,FTP_00058,NULL,0
20170104,2270,3829137,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,11:39:00,FTP,130063,46,941,11:39:00,1,0,5.30000019073,0,0,5.55000019073,0,0,0,NULL,2930660234,NULL,109.220001221,103.919998169,1559,1492,FTP_10664,NULL,0
20170104,2338,3738830,2017-01-01 00:00:00.0,2017-01-01 00:00:00.0,11:38:00,FTP,13000B,43,131,11:38:00,1,0,5.30000019073,0,0,3.34999990463,0,0,0,NULL,2930415708,NULL,32.7000007629,27.3999996185,121,2192,FTP_1018,NULL,0
20170104,2359,3813991,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,19:09:00,FTP,132FD7,55,021,19:09:00,1,0,5.30000019073,0,0,11.8999996185,0,0,0,NULL,2929861149,NULL,19.5,14.1999998093,170,3328,FTP_00474,NULL,0
20170104,2360,3813991,2017-01-01 00:00:00.0,2017-01-01 00:00:00.0,13:11:00,FTP,133175,22,022,13:11:00,1,0,5.30000019073,0,0,6.80000019073,0,0,0,NULL,2930436988,NULL,19.3999996185,14.1000003815,174,21,FTP_00536,NULL,0
20170104,2385,3813991,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,18:12:00,FTP,132FA8,4,151,18:12:00,1,0,5.30000019073,0,0,5.40000009537,0,0,0,NULL,2929868448,NULL,10.1999998093,4.90000009537,167,1799,FTP_1068,NULL,0
20170104,2460,3820245,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,19:32:00,DCS,1117035,332,209,19:32:00,1,0,5.30000019073,0,0,9.85000038147,962,2791742,4,25723-5,2930800755,25,19.7800006866,14.4799995422,472,1430,DCS_01546,NULL,0
